,station_id,latitude,longitude,elevation,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,mens,cb,tcu,altimeter_hpa
2025-01-01 00:00:00,SBSP,-23.62,-46.63,803,120.0,4.0,,9999.0,,,,FEW,2000.0,,,,,,,2,20.0,19.0,30.03,0,0,0,,1014.81,-3.464101615137755,1.9999999999999991,METAR SBSP 010000Z 12004KT 080V150 9999 FEW020 20/19 Q1017=,0,0,1017.0
2025-01-01 01:00:00,SBSP,-23.62,-46.63,803,90.0,5.0,,9999.0,,,,FEW,2000.0,,,,,,,2,21.0,18.0,30.03,0,0,0,,1014.49,-5.0,-3.061616997868383e-16,METAR SBSP 010100Z 09005KT 050V120 9999 FEW020 21/18 Q1017=,0,0,1017.0
2025-01-01 02:00:00,SBSP,-23.62,-46.63,803,140.0,3.0,,9999.0,,,,FEW,2000.0,,,,,,,2,20.0,18.0,30.03,0,0,0,,1014.81,-1.9283628290596184,2.2981333293569337,METAR SBSP 010200Z 14003KT 100V180 9999 FEW020 20/18 Q1017=,0,0,1017.0
2025-01-01 02:04:00,SBSP,-23.62,-46.63,803,140.0,4.0,,9999.0,,,,FEW,900.0,,,,,,,2,20.0,18.0,30.03,0,0,0,,1014.81,-2.571150438746158,3.0641777724759116,SPECI SBSP 010204Z 14004KT 9999 FEW009 20/18 Q1017=,0,0,1017.0
2025-01-01 02:44:00,SBSP,-23.62,-46.63,803,110.0,3.0,,9999.0,,,,SCT,900.0,BKN,1100.0,,,,,6,20.0,19.0,30.03,0,0,0,,1014.81,-2.8190778623577253,1.0260604299770062,SPECI SBSP 010244Z AUTO 11003KT 060V170 9999 SCT009 BKN011 20/19 Q1017=,0,0,1017.0
2025-01-01 02:59:00,SBSP,-23.62,-46.63,803,120.0,5.0,,9999.0,,,,BKN,900.0,,,,,,,6,21.0,19.0,30.03,0,0,0,,1014.49,-4.330127018922194,2.499999999999999,SPECI SBSP 010259Z AUTO 12005KT 030V190 9999 BKN009 21/19 Q1017=,0,0,1017.0
2025-01-01 03:00:00,SBSP,-23.62,-46.63,803,120.0,5.0,,9999.0,,,,BKN,900.0,,,,,,,6,21.0,19.0,30.03,0,0,0,,1014.49,-4.330127018922194,2.499999999999999,METAR SBSP 010300Z AUTO 12005KT 030V190 9999 BKN009 21/19 Q1017=,0,0,1017.0
2025-01-01 03:10:00,SBSP,-23.62,-46.63,803,100.0,3.0,,9000.0,,,,OVC,1000.0,,,,,,,8,21.0,19.0,30.0,0,0,0,,1013.47,-2.954423259036624,0.5209445330007909,SPECI SBSP 010310Z AUTO 10003KT 050V150 9000 OVC010 21/19 Q1016=,0,0,1016.0
2025-01-01 04:00:00,SBSP,-23.62,-46.63,803,90.0,4.0,,9000.0,,,,BKN,1000.0,,,,,,,6,20.0,18.0,30.0,0,0,0,,1013.8,-4.0,-2.4492935982947064e-16,METAR SBSP 010400Z AUTO 09004KT 060V140 9000 BKN010 20/18 Q1016=,0,0,1016.0
2025-01-01 04:11:00,SBSP,-23.62,-46.63,803,90.0,4.0,,9000.0,,,,FEW,900.0,SCT,1100.0,,,,,4,20.0,18.0,30.0,0,0,0,,1013.8,-4.0,-2.4492935982947064e-16,SPECI SBSP 010411Z AUTO 09004KT 060V140 9000 FEW009 SCT011 20/18 Q1016=,0,0,1016.0
